transaction_id,sale_date,product,quantity,price,total_price,price_category
TX001,2025-06-16,Headphones,3,184.17,552.51,Medium
TX002,2025-06-13,Phone,4,27.89,111.56,Low
TX003,2025-06-17,Laptop,4,498.95,1995.8,Medium
TX004,2025-06-14,Charger,1,187.03,187.03,Medium
TX005,2025-06-16,Tablet,1,372.8,372.8,Medium
TX006,2025-06-19,Headphones,4,746.73,2986.92,High
TX007,2025-06-12,Tablet,3,723.73,2171.19,High
TX008,2025-06-16,Tablet,2,314.98,629.96,Medium
TX009,2025-06-17,Laptop,4,547.11,2188.44,High
TX010,2025-06-14,Tablet,1,513.73,513.73,High
TX011,2025-06-13,Charger,3,639.97,1919.91,High
TX012,2025-06-17,Tablet,4,257.96,1031.84,Medium
TX013,2025-06-17,Laptop,4,593.97,2375.88,High
TX014,2025-06-12,Charger,3,979.1,2937.3,High
TX015,2025-06-15,Phone,4,491.87,1967.48,Medium
TX016,2025-06-14,Tablet,3,907.04,2721.12,High
TX017,2025-06-11,Laptop,2,440.05,880.1,Medium
TX018,2025-06-17,Phone,3,356.58,1069.74,Medium
TX019,2025-06-15,Phone,3,648.65,1945.9499999999998,High
TX020,2025-06-11,Headphones,3,672.23,2016.69,High
TX021,2025-06-14,Charger,4,865.53,3462.12,High
TX022,2025-06-10,Tablet,4,237.88,951.52,Medium
TX023,2025-06-19,Laptop,3,504.2,1512.6,High
TX024,2025-06-15,Headphones,4,576.28,2305.12,High
TX025,2025-06-18,Charger,1,770.87,770.87,High
TX026,2025-06-10,Headphones,1,53.17,53.17,Low
TX027,2025-06-19,Charger,4,994.61,3978.44,High
TX028,2025-06-12,Charger,4,475.25,1901.0,Medium
TX029,2025-06-16,Tablet,3,286.76,860.28,Medium
TX030,2025-06-13,Charger,2,884.66,1769.32,High
TX031,2025-06-18,Headphones,4,750.24,3000.96,High
TX032,2025-06-12,Charger,1,953.54,953.54,High
TX033,2025-06-14,Tablet,3,337.44,1012.3199999999999,Medium
TX034,2025-06-12,Tablet,4,557.24,2228.96,High
TX035,2025-06-16,Headphones,1,576.57,576.57,High
TX036,2025-06-14,Phone,1,980.53,980.53,High
TX037,2025-06-18,Phone,2,84.59,169.18,Low
TX038,2025-06-16,Charger,3,312.64,937.92,Medium
TX039,2025-06-11,Laptop,3,199.0,597.0,Medium
TX040,2025-06-13,Charger,2,275.79,551.58,Medium
TX041,2025-06-18,Headphones,2,490.43,980.86,Medium
TX042,2025-06-11,Headphones,3,378.96,1136.8799999999999,Medium
TX043,2025-06-19,Headphones,3,400.74,1202.22,Medium
TX044,2025-06-18,Headphones,4,845.77,3383.08,High
TX045,2025-06-19,Headphones,4,930.72,3722.88,High
TX046,2025-06-14,Tablet,2,79.71,159.42,Low
TX047,2025-06-11,Phone,4,216.83,867.32,Medium
TX048,2025-06-13,Headphones,1,674.43,674.43,High
TX049,2025-06-16,Laptop,4,365.06,1460.24,Medium
TX050,2025-06-17,Laptop,4,261.62,1046.48,Medium
TX051,2025-06-12,Laptop,1,302.34,302.34,Medium
TX052,2025-06-10,Laptop,2,329.33,658.66,Medium
TX053,2025-06-13,Tablet,1,850.18,850.18,High
TX054,2025-06-11,Laptop,4,145.26,581.04,Medium
TX055,2025-06-17,Headphones,2,711.82,1423.64,High
TX056,2025-06-13,Charger,4,557.29,2229.16,High
TX057,2025-06-11,Laptop,1,303.55,303.55,Medium
TX058,2025-06-15,Tablet,1,425.58,425.58,Medium
TX059,2025-06-15,Tablet,4,263.64,1054.56,Medium
TX060,2025-06-19,Laptop,3,615.4,1846.1999999999998,High
TX061,2025-06-13,Charger,3,90.78,272.34000000000003,Low
TX062,2025-06-15,Laptop,1,15.13,15.13,Low
TX063,2025-06-11,Tablet,1,631.62,631.62,High
TX064,2025-06-19,Phone,3,202.33,606.99,Medium
TX065,2025-06-11,Headphones,3,80.23,240.69,Low
TX066,2025-06-19,Tablet,4,402.82,1611.28,Medium
TX067,2025-06-13,Laptop,4,60.26,241.04,Low
TX068,2025-06-17,Headphones,3,887.75,2663.25,High
TX069,2025-06-16,Laptop,4,37.34,149.36,Low
TX070,2025-06-18,Laptop,4,583.08,2332.32,High
TX071,2025-06-17,Phone,2,444.09,888.18,Medium
TX072,2025-06-14,Headphones,4,675.31,2701.24,High
TX073,2025-06-11,Headphones,1,334.87,334.87,Medium
TX074,2025-06-14,Phone,4,163.49,653.96,Medium
TX075,2025-06-17,Tablet,4,982.02,3928.08,High
TX076,2025-06-19,Laptop,3,840.54,2521.62,High
TX077,2025-06-18,Charger,1,861.8,861.8,High
TX078,2025-06-18,Laptop,4,257.75,1031.0,Medium
